RA,DEC,DIST,MAG,TYPE,NAME,SIZE
233.785215,-41.166757,129.0323,2.8,star B2IV,"HIP 76297 ;HD  138690 ;HR  5776 ;BF  Gam Lup ;",0
82.06134,-20.759441,49.1642,2.81,star G5II,"Nihal ;HIP 25606 ;HD  36079 ;HR  1829 ;BF  9Bet Lep ;",0
250.321695,31.602726,10.7158,2.81,star F9IV,"HIP 81693 ;HD  150680 ;HR  6212 ;GL  Gl 635A ;BF  40Zet Her ;",0
6.41874,-77.254247,7.4588,2.82,star G2IV,"HIP 2021 ;HD  2151 ;HR  98 ;GL  Gl 19 ;BF  Bet Hyi ;",0
248.970645,-28.216016,145.3488,2.82,star B0V,"HIP 81266 ;HD  149438 ;HR  6165 ;BF  23Tau Sco ;",0
276.992685,-25.4217,23.9693,2.82,star K1IIIb,"Kaus Borealis ;HIP 90496 ;HD  169916 ;HR  6913 ;GL  Gl 713.1 ;BF  22Lam Sgr ;",0
3.30897,15.183596,120.048,2.83,star B2IV,"Algenib ;HIP 1067 ;HD  886 ;HR  39 ;BF  88Gam Peg ;",0
121.886055,-24.304324,19.4818,2.83,star F2mF5IIp,"HIP 39757 ;HD  67523 ;HR  3185 ;BF  15Rho Pup ;",0
238.786245,-63.430727,12.3778,2.83,star F2III,"HIP 77952 ;HD  141891 ;HR  5897 ;GL  Gl 601A ;BF  Bet TrA ;",0
58.533,31.883635,230.4147,2.84,star B1Ib,"HIP 18246 ;HD  24398 ;HR  1203 ;BF  44Zet Per ;",0
261.324975,-55.529884,198.0198,2.84,star K3Ib-II,"HIP 85258 ;HD  157244 ;HR  6461 ;BF  Bet Ara ;",0
262.960425,-49.876145,81.9672,2.84,star B2Vne,"HIP 85792 ;HD  158427 ;HR  6510 ;BF  Alp Ara ;",0
56.87115,24.105137,123.6094,2.85,star B7III,"Alcyone ;HIP 17702 ;HD  23630 ;HR  1165 ;BF  25Eta Tau ;",0
195.54417,10.95915,33.6022,2.85,star G8IIIvar,"Vindemiatrix ;HIP 63608 ;HD  113226 ;HR  4932 ;BF  47Eps Vir ;",0
326.760165,-16.127286,11.8666,2.85,star A5mF2 (IV),"HIP 107556 ;HD  207098 ;HR  8322 ;GL  Gl 837 ;BF  49Del Cap ;",0
113.652405,31.89052,15.8053,2.85,star A m,"HD  60178 ;HR  2890 ;GL  Gl 278B ;BF  66Alp Gem ;",0
29.691765,-61.569859,22.0119,2.86,star F0V,"HIP 9236 ;HD  12311 ;HR  591 ;GL  Gl 83 ;BF  Alp Hyi ;",0
296.24361,45.13081,50.5817,2.86,star B9.5III,"HIP 97165 ;HD  186882 ;HR  7528 ;BF  18Del Cyg ;",0
95.740095,22.513586,71.0227,2.87,star M3IIIvar,"HIP 30343 ;HD  44478 ;HR  2286 ;BF  13Mu  Gem ;",0
229.727715,-68.679545,56.3698,2.87,star A1V,"HIP 74946 ;HD  135382 ;HR  5671 ;BF  Gam TrA ;",0
334.625565,-60.259587,61.237,2.87,star K3III,"HIP 110130 ;HD  211416 ;HR  8502 ;BF  Alp Tuc ;",0
44.565345,-40.304672,49.4315,2.88,star A4III+...,"Acamar ;HIP 13847 ;HD  18622 ;HR  897 ;BF  The1Eri ;",0
287.440965,-21.023615,156.25,2.88,star F2II/III,"Albaldah ;HIP 94141 ;HD  178524 ;HR  7264 ;BF  41Pi  Sgr ;",0
111.78768,8.289315,49.5786,2.89,star B8Vvar,"Gomeisa ;HIP 36188 ;HD  58715 ;HR  2845 ;BF  3Bet CMi ;",0
194.007105,38.31838,35.1989,2.89,star A0spe...,"Cor Caroli ;HIP 63125 ;HD  112413 ;HR  4915 ;BF  12Alp2CVn ;",0
239.712975,-26.114105,179.5332,2.89,star B1V + B2V,"HIP 78265 ;HD  143018 ;HR  5944 ;BF  6Pi  Sco ;",0
59.46345,40.010215,195.6947,2.9,star B0.5V,"HIP 18532 ;HD  24760 ;HR  1220 ;BF  45Eps Per ;",0
245.297145,-25.592796,213.6752,2.9,star B1III,"HIP 80112 ;HD  147165 ;HR  6084 ;BF  20Sig Sco ;",0
322.88973,-5.571172,164.7446,2.9,star G0Ib,"Sadalsuud ;HIP 106278 ;HD  204867 ;HR  8232 ;BF  22Bet Aqr ;",0
46.19913,53.50644,74.5712,2.91,star G8III+...,"HIP 14328 ;HD  18925 ;HR  915 ;BF  23Gam Per ;",0
146.77554,-65.072007,440.5286,2.92,star A9,"HIP 48002 ;HD  85123 ;HR  3890 ;BF  Ups Car ;",0
340.75056,30.221245,65.703,2.93,star G2II-III..,"Matar ;HIP 112158 ;HD  215182 ;HR  8650 ;BF  44Eta Peg ;",0
102.48399,-50.61456,55.8036,2.94,star K0III...,"HIP 32768 ;HD  50310 ;HR  2553 ;BF  Tau Pup ;",0
187.466085,-16.515432,26.6312,2.94,star B9.5V,"Algorab ;HIP 60965 ;HD  108767 ;HR  4757 ;BF  7Del Crv ;",0
331.445985,-0.319851,160.5136,2.95,star G2Ib,"Sadalmelik ;HIP 109074 ;HD  209750 ;HR  8414 ;BF  34Alp Aqr ;",0
59.507355,-13.508515,62.3441,2.97,star M1IIIb Ca-1,"Zaurak ;HIP 18543 ;HD  25025 ;HR  1231 ;BF  34Gam Eri ;",0
84.411195,21.142549,136.4256,2.97,star B4IIIp,"HIP 26451 ;HD  37202 ;HR  1910 ;BF  123Zet Tau ;",0
146.46282,23.774255,75.643,2.97,star G0II,"Ras Elased Australis ;HIP 47908 ;HD  84441 ;HR  3873 ;BF  17Eps Leo ;",0
271.452045,-30.424091,29.7,2.98,star K0III,"Nash ;HIP 88635 ;HD  165135 ;HR  6746 ;BF  10Gam2Sgr ;",0
199.730385,-23.171512,41.0341,2.99,star G8III,"HIP 64962 ;HD  115659 ;HR  5020 ;BF  46Gam Hya ;",0
266.89617,-40.126997,591.716,2.99,star F3Ia,"HIP 87073 ;HD  161471 ;HR  6615 ;BF  Iot1Sco ;",0
286.352535,13.863478,25.4582,2.99,star A0Vn,"HIP 93747 ;HD  177724 ;HR  7235 ;GL  NN 4095A ;BF  17Zet Aql ;",0
32.38587,34.987297,38.8954,3,star A5III,"HIP 10064 ;HD  13161 ;HR  622 ;BF  4Bet Tri ;",0
167.41593,44.498487,44.3066,3,star K1III,"HIP 54539 ;HD  96833 ;HR  4335 ;BF  52Psi UMa ;",0
230.182245,71.834016,149.2537,3,star A3II-III,"HIP 75097 ;HD  137422 ;HR  5735 ;BF  13Gam UMi ;",0
252.967635,-38.04738,153.6098,3,star B1.5IV + B,"HIP 82514 ;HD  151890 ;HR  6247 ;BF  Mu 1Sco ;",0
328.48212,-37.364852,64.7249,3,star B8III,"HIP 108085 ;HD  207971 ;HR  8353 ;BF  Gam Gru ;",0
55.73124,47.787551,158.2278,3.01,star B5III SB,"HIP 17358 ;HD  22928 ;HR  1122 ;BF  39Del Per ;",0
95.078295,-30.063367,111.1111,3.02,star B2.5V,"HIP 30122 ;HD  44402 ;HR  2282 ;BF  1Zet CMa ;",0
